HomePlanet,CryoSleep,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Transported,Name_length,FirstNameInitial,SurnameInitial,deck,num,Group,Group_size,All_Zero,Total_Spend
Earth,False,TRAPPIST-1e,10.0,False,0.0,0.0,0.0,0.0,0.0,True,18.0,B,J,E,0,0020,6,True,0.0
Earth,True,PSO J318.5-22,1.0,False,0.0,0.0,0.0,0.0,0.0,False,15.0,M,B,E,0,0020,6,True,0.0
Earth,False,TRAPPIST-1e,7.0,False,0.0,0.0,0.0,0.0,0.0,False,17.0,T,M,E,0,0020,6,True,0.0
Mars,False,TRAPPIST-1e,21.0,False,980.0,2.0,69.0,0.0,0.0,False,14.0,L,P,D,0,0022,1,False,1051.0
Europa,True,TRAPPIST-1e,62.0,False,0.0,0.0,0.0,0.0,0.0,True,15.0,P,F,C,2,0024,1,True,0.0
Earth,False,TRAPPIST-1e,15.0,False,0.0,225.0,0.0,998.0,0.0,False,17.0,K,B,F,6,0025,1,False,1223.0
Europa,False,55 Cancri e,34.0,False,22.0,6073.0,0.0,1438.0,328.0,False,15.0,A,U,C,0,0026,1,False,7861.0
Mars,False,TRAPPIST-1e,43.0,False,1125.0,0.0,136.0,48.0,0.0,False,10.0,C,M,F,8,0028,1,False,1309.0
Earth,False,TRAPPIST-1e,32.0,False,0.0,850.0,81.0,437.0,453.0,False,16.0,G,M,G,4,0030,1,False,1821.0
Mars,False,TRAPPIST-1e,47.0,False,214.0,0.0,1411.0,0.0,1229.0,True,12.0,C,D,F,9,0031,3,False,2854.0
Mars,False,TRAPPIST-1e,2.0,False,0.0,0.0,0.0,0.0,0.0,True,12.0,C,D,F,9,0031,3,True,0.0
Mars,False,TRAPPIST-1e,20.0,False,222.6473806752037,0.0,1750.0,990.0,0.0,True,12.0,D,D,F,9,0031,3,False,2962.6473806752037
Europa,True,55 Cancri e,28.0,False,0.0,0.0,0.0,0.0,0.0,True,15.0,Z,O,D,1,0034,1,True,0.0
Mars,False,55 Cancri e,23.0,False,784.0,964.0,0.0,951.0,0.0,False,10.0,L,B,D,1,0035,1,False,2699.0
Earth,False,55 Cancri e,15.0,False,0.0,492.0,48.0,20.0,401.0,False,14.0,M,L,F,8,0036,1,False,961.0
Earth,False,55 Cancri e,20.0,False,554.0,195.0,0.0,2606.0,0.0,False,13.0,L,W,F,10,0038,1,False,3355.0
Earth,True,55 Cancri e,30.0,False,0.0,0.0,0.0,0.0,0.0,False,17.0,J,B,G,1,0039,1,True,0.0
Earth,True,TRAPPIST-1e,17.0,False,0.0,0.0,0.0,0.0,0.0,True,14.0,M,M,G,2,0041,1,True,0.0
Europa,False,TRAPPIST-1e,45.0,False,0.0,164.0,45.0,2511.0,855.0,False,18.0,A,C,B,3,0043,1,False,3575.0
Earth,True,TRAPPIST-1e,55.0,False,0.0,0.0,0.0,0.0,0.0,False,17.0,J,C,G,3,0044,3,True,0.0
Earth,True,55 Cancri e,4.0,False,0.0,0.0,0.0,0.0,0.0,True,17.0,K,C,G,3,0044,3,True,0.0
Earth,True,PSO J318.5-22,21.0,False,0.0,0.0,0.0,0.0,0.0,True,17.0,C,C,G,3,0044,3,True,0.0
Mars,False,TRAPPIST-1e,21.0,False,970.0,0.0,180.0,0.0,64.0,False,12.0,Z,C,F,10,0045,2,False,1214.0
Mars,True,TRAPPIST-1e,19.0,False,0.0,0.0,0.0,0.0,0.0,True,10.0,M,C,F,10,0045,2,True,0.0
Earth,False,55 Cancri e,35.0,False,790.0,0.0,0.0,308.5643864351474,0.0,False,11.0,S,L,E,1,0050,1,False,1098.5643864351473
Earth,False,TRAPPIST-1e,56.0,False,0.0,112.0,0.0,1379.0,127.0,False,16.0,V,J,E,2,0051,1,False,1618.0
Earth,False,TRAPPIST-1e,27.0,False,4.0,0.0,2.0,4683.0,0.0,False,16.0,E,H,G,6,0052,1,False,4689.0
Earth,False,TRAPPIST-1e,25.0,False,0.0,0.0,1938.0,0.0,1.0,True,15.0,E,H,F,11,0053,1,False,1939.0
Europa,False,TRAPPIST-1e,2.0,False,0.0,0.0,0.0,0.0,0.0,True,15.0,O,T,A,1,0056,3,True,0.0
Europa,True,TRAPPIST-1e,38.0,False,0.0,0.0,0.0,0.0,0.0,True,15.0,I,T,A,1,0056,3,True,0.0
Europa,False,TRAPPIST-1e,27.0,False,279.0,605.0,3374.0,286.0,3.0,True,16.0,Z,T,A,1,0056,3,False,4547.0
Earth,True,PSO J318.5-22,36.0,False,0.0,0.0,0.0,0.0,0.0,False,16.0,W,A,G,7,0058,1,True,0.0
Earth,False,TRAPPIST-1e,22.0,False,45.0,1096.0,148.0,1377.0,1.0,False,12.0,S,S,F,12,0061,1,False,2667.0
Earth,False,TRAPPIST-1e,62.0,False,0.0,592.0,0.0,17.0,25.0,False,14.0,S,G,F,13,0062,1,False,634.0
Mars,True,TRAPPIST-1e,15.0,False,0.0,0.0,0.0,0.0,0.0,True,14.0,H,I,F,14,0064,2,True,0.0
Earth,True,TRAPPIST-1e,33.0,False,0.0,0.0,0.0,0.0,0.0,True,11.0,C,K,E,3,0064,2,True,0.0
Earth,False,TRAPPIST-1e,62.0,False,1.0,153.0,197.0,0.0,460.0,False,16.0,D,P,G,6,0066,1,False,811.0
Earth,True,PSO J318.5-22,0.0,False,0.0,0.0,0.0,0.0,0.0,True,13.0,N,L,G,10,0067,3,True,0.0
Earth,False,TRAPPIST-1e,18.0,False,1.0,258.0,446.0,0.0,0.0,True,13.0,C,L,G,10,0067,3,False,705.0
Earth,False,55 Cancri e,21.0,False,1946.0,37.0,0.0,0.0,24.0,False,13.0,V,L,F,15,0067,3,False,2007.0
Mars,False,TRAPPIST-1e,27.0,False,793.0,0.0,2.0,253.0,0.0,False,11.0,C,B,E,4,0068,1,False,1048.0
Earth,False,TRAPPIST-1e,42.0,False,887.0,0.0,9.0,6.0,0.0,True,14.0,Q,B,F,16,0069,1,False,902.0
Earth,False,TRAPPIST-1e,19.0,False,190.0,0.0,5.0,1.0,726.0,False,15.0,M,B,F,13,0070,1,False,922.0
Earth,False,TRAPPIST-1e,17.0,False,16.0,2165.0,0.0,0.0,52.0,False,14.0,N,D,F,14,0071,1,False,2233.0
Earth,False,TRAPPIST-1e,14.0,False,0.0,1.0,0.0,0.0,1063.0,False,16.0,T,B,F,17,0072,1,False,1064.0
Mars,False,PSO J318.5-22,37.0,False,46.0,83.0,738.0,0.0,12.0,False,9.0,G,M,D,3,0073,1,False,879.0
Europa,False,TRAPPIST-1e,42.0,False,1.0,8397.0,0.0,0.0,506.0,True,16.0,A,M,C,3,0074,1,False,8904.0
Mars,False,TRAPPIST-1e,27.0,False,147.0,0.0,1018.0,0.0,0.0,True,8.0,C,D,F,18,0076,1,False,1165.0
Mars,False,TRAPPIST-1e,28.0,False,14.0,0.0,1295.0,0.0,0.0,True,9.0,P,B,F,15,0077,1,False,1309.0
Europa,False,TRAPPIST-1e,38.0,False,0.0,5840.0,0.0,321.0,9654.0,False,15.0,S,P,C,4,0078,1,False,15815.0
Earth,True,TRAPPIST-1e,13.0,False,0.0,0.0,0.0,0.0,0.0,False,16.0,D,V,G,13,0081,1,True,0.0
Mars,False,TRAPPIST-1e,42.0,False,7406.0,0.0,0.0,0.0,0.0,False,11.0,T,D,F,16,0082,3,False,7406.0
Mars,True,TRAPPIST-1e,2.0,False,0.0,0.0,0.0,0.0,0.0,True,12.0,E,D,F,16,0082,3,True,0.0
Mars,False,TRAPPIST-1e,8.0,False,0.0,0.0,0.0,0.0,0.0,True,14.0,I,J,F,16,0082,3,True,0.0
Earth,False,TRAPPIST-1e,24.0,False,688.0,0.0,0.0,0.0,17.0,True,17.0,C,C,G,14,0084,1,False,705.0
Europa,True,TRAPPIST-1e,40.0,False,0.0,0.0,0.0,0.0,0.0,True,18.0,F,E,C,5,0085,1,True,0.0
Earth,False,TRAPPIST-1e,43.0,False,211.0,0.0,0.0,638.0,513.0,False,12.0,J,K,F,17,0086,1,False,1362.0
Mars,True,PSO J318.5-22,45.0,False,0.0,0.0,0.0,0.0,0.0,True,12.0,S,S,E,5,0088,1,True,0.0
Earth,True,TRAPPIST-1e,35.0,False,0.0,0.0,0.0,0.0,0.0,True,13.0,H,S,G,15,0090,1,True,0.0
Earth,True,TRAPPIST-1e,26.0,False,0.0,0.0,0.0,0.0,0.0,True,15.0,D,Y,G,16,0091,2,True,0.0
Earth,False,TRAPPIST-1e,27.0,False,1.0,697.0,31.0,188.0,0.0,False,14.0,T,Y,F,20,0091,2,False,917.0
Earth,False,TRAPPIST-1e,19.0,False,0.0,0.0,670.0,1.0,34.0,False,14.0,G,D,G,9,0092,3,False,705.0
Earth,True,TRAPPIST-1e,0.0,False,0.0,0.0,0.0,0.0,0.0,True,12.0,S,H,G,9,0092,3,True,0.0
Earth,True,TRAPPIST-1e,3.0,False,0.0,0.0,0.0,0.0,0.0,True,12.0,T,H,G,9,0092,3,True,0.0
Europa,False,TRAPPIST-1e,54.0,False,0.0,1208.0,0.0,3.0,637.0,False,15.0,A,F,A,2,0097,1,False,1848.0
Earth,False,TRAPPIST-1e,26.0,False,0.0,856.0,5.0,32.0,0.0,False,15.0,D,C,G,11,0098,2,False,893.0
Earth,False,TRAPPIST-1e,26.0,False,0.0,2811.0,957.0,0.0,87.0,True,16.0,L,C,G,11,0098,2,False,3855.0
Earth,False,PSO J318.5-22,23.0,False,311.0,427.0,526.0,37.0,0.0,False,17.0,A,L,F,19,0099,2,False,1301.0
Earth,True,TRAPPIST-1e,2.0,False,0.0,0.0,0.0,0.0,0.0,True,16.0,T,C,G,12,0099,2,True,0.0
Mars,True,TRAPPIST-1e,31.0,False,0.0,0.0,0.0,0.0,0.0,True,9.0,B,T,F,23,0101,1,True,0.0
Earth,False,TRAPPIST-1e,18.0,False,0.0,0.0,0.0,830.0,91.0,False,13.0,R,H,F,23,0102,1,False,921.0
Earth,False,TRAPPIST-1e,24.0,False,0.0,453.7582353625888,0.0,0.0,17.0,True,14.0,A,M,F,24,0103,3,False,470.7582353625888
Earth,True,55 Cancri e,9.0,False,0.0,0.0,0.0,0.0,0.0,True,15.0,S,M,G,18,0103,3,True,0.0
Earth,True,TRAPPIST-1e,6.0,False,0.0,0.0,0.0,0.0,0.0,False,14.0,F,M,G,18,0103,3,True,0.0
Earth,False,TRAPPIST-1e,27.0,False,0.0,0.0,570.0,2.0,131.0,False,16.0,C,C,F,21,0105,1,False,703.0
Mars,False,TRAPPIST-1e,21.0,False,1743.0,5.0,17.0,0.0,0.0,False,11.0,C,H,D,2,0107,1,False,1765.0
Earth,True,TRAPPIST-1e,23.0,False,0.0,0.0,0.0,0.0,0.0,False,16.0,N,H,G,19,0108,3,True,0.0
Earth,False,TRAPPIST-1e,31.0,False,562.0,0.0,326.0,0.0,0.0,False,14.0,B,O,G,19,0108,3,False,888.0
Earth,False,TRAPPIST-1e,0.0,False,0.0,0.0,0.0,0.0,0.0,True,15.0,O,H,G,19,0108,3,True,0.0
Europa,False,TRAPPIST-1e,32.0,False,0.0,410.0,6.0,3929.0,764.0,False,17.0,G,A,C,5,0110,4,False,5109.0
Europa,False,TRAPPIST-1e,40.0,False,0.0,331.0,0.0,0.0,1687.0,False,15.0,A,B,B,5,0110,4,False,2018.0
Europa,False,TRAPPIST-1e,42.0,False,2209.0,11418.0,0.0,1868.0,445.0,True,17.0,A,A,B,5,0110,4,False,15940.0
Europa,True,TRAPPIST-1e,28.0,False,0.0,0.0,0.0,0.0,0.0,True,15.0,I,A,B,5,0110,4,True,0.0
Europa,True,TRAPPIST-1e,29.0,False,0.0,0.0,0.0,0.0,0.0,True,13.0,A,S,E,6,0111,1,True,0.0
Europa,False,55 Cancri e,48.0,True,0.0,2537.0,87.0,17.0,13.0,True,12.0,M,C,B,1,0112,1,False,2654.0
Earth,False,TRAPPIST-1e,64.0,False,0.0,0.0,804.0,0.0,0.0,True,12.0,I,C,F,23,0113,1,False,804.0
Earth,False,TRAPPIST-1e,27.0,False,82.0,157.0,429.0,238.0,1.0,False,15.0,M,B,G,20,0114,1,False,907.0
Mars,False,TRAPPIST-1e,26.0,False,0.0,0.0,0.0,0.0,0.0,True,9.0,R,P,F,24,0115,1,True,0.0
Europa,False,TRAPPIST-1e,33.0,False,1.0,2223.0,0.0,12.0,404.0,True,15.0,A,S,D,4,0116,1,False,2640.0
Europa,False,TRAPPIST-1e,39.0,False,0.0,2344.0,0.0,65.0,6898.0,False,12.0,B,C,A,0,0119,2,False,9307.0
Europa,True,TRAPPIST-1e,13.0,False,0.0,0.0,0.0,0.0,0.0,True,14.0,K,C,A,0,0119,2,True,0.0
Mars,True,TRAPPIST-1e,24.0,False,0.0,0.0,0.0,0.0,0.0,True,10.0,B,S,F,25,0120,1,True,0.0
Earth,False,TRAPPIST-1e,29.0,False,0.0,0.0,0.0,699.0,74.0,False,13.0,S,H,G,21,0122,1,False,773.0
Earth,False,TRAPPIST-1e,18.0,False,55.0,597.0,49.0,0.0,1.0,False,12.0,I,F,F,27,0123,1,False,702.0
Mars,True,TRAPPIST-1e,67.0,False,0.0,0.0,0.0,0.0,0.0,True,10.0,M,M,F,27,0126,1,True,0.0
Mars,False,TRAPPIST-1e,35.0,False,701.0,0.0,296.0,0.0,25.0,False,12.0,M,M,E,7,0127,1,False,1022.0
Mars,False,TRAPPIST-1e,61.0,True,2353.0,334.0,9.0,316.0,2.0,False,10.0,G,F,D,3,0128,2,False,3014.0
Mars,False,TRAPPIST-1e,45.0,False,2103.0,6.0,0.0,0.0,0.0,False,11.0,B,F,E,8,0128,2,False,2109.0
Earth,True,PSO J318.5-22,22.0,False,0.0,0.0,0.0,0.0,0.0,True,11.0,R,F,G,22,0129,1,True,0.0
Mars,True,TRAPPIST-1e,19.0,False,0.0,0.0,0.0,0.0,0.0,True,10.0,F,B,F,29,0133,2,True,0.0
Mars,False,TRAPPIST-1e,36.0,False,2738.0,0.0,0.0,0.0,0.0,False,11.0,E,B,D,5,0133,2,False,2738.0
Earth,False,TRAPPIST-1e,19.0,False,0.0,14.0,730.0,0.0,0.0,True,16.0,C,H,G,17,0134,1,False,744.0
Earth,False,PSO J318.5-22,47.0,False,97.0,418.0,126.0,25.0,55.0,False,14.0,K,M,G,23,0136,1,False,721.0
Earth,True,TRAPPIST-1e,13.0,False,0.0,0.0,0.0,0.0,0.0,True,12.0,F,G,G,18,0138,2,True,0.0
Earth,False,TRAPPIST-1e,34.0,False,0.0,22.0,0.0,564.0,207.0,False,11.0,M,G,E,5,0138,2,False,793.0
Europa,True,55 Cancri e,35.0,False,0.0,0.0,0.0,0.0,0.0,True,13.0,C,M,C,6,0139,1,True,0.0
Earth,True,TRAPPIST-1e,24.0,False,0.0,0.0,0.0,0.0,0.0,True,16.0,E,M,G,19,0140,2,True,0.0
Earth,False,TRAPPIST-1e,26.0,False,440.0,0.0,0.0,0.0,462.0,False,16.0,V,W,F,29,0140,2,False,902.0
Mars,False,TRAPPIST-1e,31.0,False,222.6473806752037,0.0,97.0,0.0,0.0,False,12.0,P,H,F,30,0141,1,False,319.6473806752037
Earth,False,TRAPPIST-1e,20.0,False,0.0,420.0,210.0,0.0,0.0,True,13.0,G,D,F,31,0144,1,False,630.0
Earth,False,TRAPPIST-1e,56.0,False,0.0,0.0,0.0,0.0,0.0,False,17.0,V,W,G,25,0146,1,True,0.0
Earth,True,TRAPPIST-1e,50.0,False,0.0,0.0,0.0,0.0,0.0,True,17.0,S,H,G,26,0147,1,True,0.0
Mars,False,TRAPPIST-1e,42.0,False,1072.0,0.0,10.0,0.0,76.0,False,11.0,C,P,F,31,0148,1,False,1158.0
Earth,True,55 Cancri e,27.0,False,0.0,0.0,0.0,0.0,0.0,True,18.0,B,H,G,27,0149,1,True,0.0
Earth,True,55 Cancri e,38.0,False,0.0,0.0,0.0,0.0,0.0,False,13.0,S,S,G,20,0151,1,True,0.0
Earth,False,TRAPPIST-1e,41.0,False,0.0,0.0,0.0,0.0,607.0,False,12.0,A,E,F,32,0152,1,False,607.0
Earth,False,TRAPPIST-1e,22.0,False,4119.0,0.0,0.0,0.0,61.0,False,13.0,G,A,G,22,0160,1,False,4180.0
Europa,True,TRAPPIST-1e,26.0,False,0.0,0.0,0.0,0.0,0.0,True,18.0,K,H,B,8,0163,2,True,0.0
Europa,True,TRAPPIST-1e,17.0,False,0.0,0.0,0.0,0.0,0.0,True,18.0,S,H,B,8,0163,2,True,0.0
Earth,False,TRAPPIST-1e,57.0,False,50.0,1688.0,0.0,308.5643864351474,135.0,True,15.0,F,H,G,28,0164,2,False,2181.5643864351473
Earth,True,PSO J318.5-22,17.0,False,0.0,0.0,0.0,0.0,0.0,False,16.0,I,H,G,28,0164,2,True,0.0
Mars,True,TRAPPIST-1e,35.0,False,0.0,0.0,0.0,0.0,0.0,True,12.0,G,A,F,37,0165,1,True,0.0
Mars,True,TRAPPIST-1e,13.0,False,0.0,0.0,0.0,0.0,0.0,True,11.0,M,F,F,35,0167,2,True,0.0
Mars,False,TRAPPIST-1e,27.0,False,1365.0,0.0,48.0,22.0,137.0,False,10.0,R,F,F,35,0167,2,False,1572.0
Earth,True,TRAPPIST-1e,31.0,False,0.0,0.0,0.0,0.0,0.0,False,14.0,W,F,G,23,0169,1,True,0.0
Earth,False,TRAPPIST-1e,24.0,False,0.0,0.0,0.0,221.0,567.0,False,16.0,M,M,E,10,0170,1,False,788.0
Earth,True,PSO J318.5-22,19.0,False,0.0,0.0,0.0,0.0,0.0,True,18.0,C,G,G,30,0171,1,True,0.0
Earth,True,TRAPPIST-1e,32.0,False,0.0,0.0,0.0,0.0,0.0,True,16.0,H,J,G,24,0172,1,True,0.0
Earth,False,TRAPPIST-1e,58.0,False,0.0,985.0,0.0,5.0,0.0,True,14.0,H,G,E,11,0173,1,False,990.0
Earth,False,55 Cancri e,21.0,False,287.0,0.0,16.0,115.0,175.0,False,13.0,D,L,F,38,0174,1,False,593.0
Europa,False,TRAPPIST-1e,38.0,False,0.0,10346.0,1.0,14970.0,2111.0,False,16.0,T,I,B,2,0177,1,False,27428.0
Mars,False,TRAPPIST-1e,38.0,False,3414.0,0.0,161.0,28.0,119.0,False,9.0,W,K,D,6,0178,1,False,3722.0
Earth,False,TRAPPIST-1e,19.0,False,1.0,219.0,673.0,2.0,11.0,True,18.0,E,W,G,26,0179,3,False,906.0
Earth,False,TRAPPIST-1e,0.0,False,0.0,0.0,0.0,0.0,0.0,False,17.0,R,W,G,26,0179,3,True,0.0
Earth,False,TRAPPIST-1e,3.0,False,0.0,0.0,0.0,0.0,0.0,True,18.0,S,W,G,26,0179,3,True,0.0
Earth,False,TRAPPIST-1e,20.0,False,0.0,0.0,3.0,299.0,92.0,False,15.0,N,B,G,27,0181,1,False,394.0
Europa,True,TRAPPIST-1e,24.0,False,0.0,0.0,0.0,0.0,0.0,True,14.0,K,D,C,3,0182,1,True,0.0
Earth,False,TRAPPIST-1e,37.0,False,17.0,146.0,426.0,0.0,232.0,True,12.0,S,W,F,36,0183,1,False,821.0
Earth,False,TRAPPIST-1e,25.0,False,62.0,0.0,0.0,0.0,956.0,False,17.0,C,S,G,28,0186,1,False,1018.0
Earth,True,TRAPPIST-1e,56.0,False,0.0,0.0,0.0,0.0,0.0,True,12.0,B,R,G,31,0188,1,True,0.0
Earth,False,55 Cancri e,49.0,False,84.0,3.0,401.0,202.0,98.0,False,13.0,H,B,E,8,0189,1,False,788.0
Earth,True,55 Cancri e,11.0,False,0.0,0.0,0.0,0.0,0.0,False,14.0,Z,I,G,32,0190,1,True,0.0
Earth,True,TRAPPIST-1e,1.0,False,0.0,0.0,0.0,0.0,0.0,True,15.0,T,A,G,29,0192,3,True,0.0
Earth,False,TRAPPIST-1e,8.0,False,0.0,0.0,0.0,0.0,0.0,False,16.0,R,A,G,29,0192,3,True,0.0
Earth,False,TRAPPIST-1e,39.0,False,0.0,0.0,10.0,898.0,0.0,False,16.0,L,A,G,29,0192,3,False,908.0
Mars,True,TRAPPIST-1e,2.0,False,0.0,0.0,0.0,0.0,0.0,True,7.0,S,R,F,41,0193,3,True,0.0
Mars,False,TRAPPIST-1e,23.0,False,222.6473806752037,0.0,8.0,1072.0,0.0,False,9.0,F,R,F,41,0193,3,False,1302.6473806752037
Mars,False,TRAPPIST-1e,0.0,False,0.0,0.0,0.0,0.0,0.0,True,9.0,G,R,F,41,0193,3,True,0.0
Mars,False,TRAPPIST-1e,39.0,False,406.0,0.0,867.0,0.0,0.0,True,9.0,B,F,F,42,0195,1,False,1273.0
Mars,False,PSO J318.5-22,25.0,False,1052.0,0.0,719.0,0.0,7.0,False,11.0,C,E,D,5,0196,1,False,1778.0
Europa,False,TRAPPIST-1e,36.0,False,0.0,972.0,0.0,795.0,575.0,False,14.0,A,D,C,5,0197,1,False,2342.0
Earth,True,PSO J318.5-22,52.0,False,0.0,0.0,0.0,0.0,0.0,True,13.0,J,C,G,30,0198,1,True,0.0
Earth,True,TRAPPIST-1e,18.0,False,0.0,0.0,0.0,0.0,0.0,False,14.0,R,M,G,33,0199,1,True,0.0
Earth,True,TRAPPIST-1e,15.0,False,0.0,0.0,0.0,0.0,0.0,True,15.0,E,C,G,31,0200,1,True,0.0
Europa,True,TRAPPIST-1e,35.0,False,0.0,0.0,0.0,0.0,0.0,True,17.0,K,B,B,3,0201,2,True,0.0
Europa,True,TRAPPIST-1e,47.0,False,0.0,0.0,0.0,0.0,0.0,True,17.0,E,B,B,3,0201,2,True,0.0
Europa,True,55 Cancri e,45.0,False,0.0,0.0,0.0,0.0,0.0,True,14.0,P,E,B,9,0202,2,True,0.0
Europa,False,55 Cancri e,27.0,False,0.0,2433.0,171.5456767136041,878.0,443.0,True,13.0,V,E,A,2,0202,2,False,3925.5456767136043
Europa,True,TRAPPIST-1e,51.0,False,0.0,0.0,0.0,0.0,0.0,True,15.0,A,H,C,8,0203,1,True,0.0
Earth,False,TRAPPIST-1e,29.0,False,0.0,2.0,66.0,0.0,705.0,False,13.0,C,O,G,34,0205,1,False,773.0
Europa,False,55 Cancri e,27.0,False,2.0,1720.0,12.0,1125.0,122.0,True,15.0,N,B,C,9,0206,1,False,2981.0
Earth,True,PSO J318.5-22,19.0,False,0.0,0.0,0.0,0.0,0.0,False,17.0,T,M,G,32,0207,1,True,0.0
Mars,True,55 Cancri e,24.0,False,0.0,0.0,0.0,0.0,0.0,True,14.0,A,I,D,6,0210,1,True,0.0
Mars,False,TRAPPIST-1e,29.0,False,902.0,1.0,137.0,0.0,0.0,True,12.0,P,A,F,44,0211,3,False,1040.0
Mars,True,TRAPPIST-1e,11.0,False,0.0,0.0,0.0,0.0,0.0,True,11.0,C,A,F,44,0211,3,True,0.0
Mars,False,TRAPPIST-1e,17.0,False,848.0,0.0,307.0,182.0,0.0,False,11.0,P,D,F,44,0211,3,False,1337.0
Earth,False,TRAPPIST-1e,13.0,False,192.0,0.0,0.0,51.0,739.0,False,13.0,I,W,E,9,0212,2,False,982.0
Earth,False,TRAPPIST-1e,35.0,False,147.0,188.0,0.0,10.0,387.0,False,15.0,S,W,F,45,0212,2,False,732.0
Earth,False,TRAPPIST-1e,21.0,False,367.0,281.0,0.0,0.0,146.0,False,14.0,C,N,F,46,0213,1,False,794.0
Earth,False,55 Cancri e,21.0,False,0.0,56.0,0.0,0.0,1918.0,False,13.0,S,G,F,40,0216,1,False,1974.0
Earth,False,TRAPPIST-1e,38.0,False,1517.0,0.0,0.0,27.0,0.0,False,16.0,P,S,F,47,0217,1,False,1544.0
Earth,True,TRAPPIST-1e,19.0,False,0.0,0.0,0.0,0.0,0.0,True,10.0,N,R,G,36,0219,1,True,0.0
Earth,True,TRAPPIST-1e,2.0,False,0.0,0.0,0.0,0.0,0.0,True,13.0,T,W,G,37,0220,7,True,0.0
Earth,False,TRAPPIST-1e,0.0,False,0.0,0.0,0.0,0.0,0.0,True,13.0,W,W,G,37,0220,7,True,0.0
Earth,True,TRAPPIST-1e,13.0,False,0.0,0.0,0.0,0.0,0.0,False,15.0,B,W,G,37,0220,7,True,0.0
Earth,False,TRAPPIST-1e,25.0,False,122.0,84.0,171.5456767136041,0.0,0.0,False,13.0,D,W,E,10,0220,7,False,377.5456767136041
Earth,False,TRAPPIST-1e,16.0,False,0.0,3.0,0.0,0.0,1099.0,False,15.0,V,W,F,48,0220,7,False,1102.0
